HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

14.667	1.258	0.256
14.683	1.246	0.264
14.700	1.244	0.268
14.717	1.238	0.264
14.733	1.258	0.288
14.750	1.236	0.284
14.767	1.234	0.272
14.783	1.240	0.288
14.800	1.224	0.280
14.817	1.226	0.260
14.833	1.214	0.288
14.850	1.222	0.280
14.867	1.218	0.296
14.883	1.236	0.272
14.900	1.248	0.256
14.917	1.288	0.256
14.933	1.222	0.308
14.950	1.224	0.260
14.967	1.130	0.232
14.983	1.198	0.212
15.000	1.200	0.228
15.017	1.266	0.264
15.033	1.230	0.268
15.050	1.230	0.276
15.067	1.198	0.264
15.083	1.162	0.228
15.100	1.132	0.196
15.117	1.146	0.196
15.133	1.166	0.212
15.150	1.198	0.228
15.167	1.198	0.236
15.183	1.180	0.248
15.200	1.190	0.288
15.217	1.162	0.232
15.233	1.148	0.188
15.250	1.120	0.172
15.267	1.084	0.248
15.283	1.122	0.204
15.300	1.144	0.200
15.317	1.166	0.204
15.333	1.134	0.244
15.350	1.158	0.196
15.367	1.120	0.200
15.383	1.104	0.200
15.400	1.068	0.260
15.417	1.100	0.248
15.433	1.054	0.196
15.450	1.050	0.172
15.467	1.066	0.172
15.483	1.124	0.172
15.500	1.122	0.164
15.517	1.182	0.192
15.533	1.166	0.236
15.550	1.136	0.260
15.567	1.052	0.244
15.583	1.060	0.232
15.600	1.068	0.224
15.617	0.976	0.192
15.633	0.976	0.172
15.650	0.940	0.168
15.667	0.946	0.220
15.683	1.008	0.220
15.700	1.090	0.220
15.717	1.120	0.204
15.733	1.054	0.232
15.750	1.078	0.232
15.767	1.026	0.232
15.783	1.082	0.196
15.800	1.036	0.188
15.817	1.064	0.160
15.833	1.026	0.164
15.850	1.080	0.184
15.867	1.080	0.268
15.883	1.158	0.260
15.900	1.140	0.244
15.917	1.122	0.228
15.933	1.008	0.212
15.950	1.054	0.156
15.967	1.008	0.140
15.983	1.064	0.144
16.000	1.070	0.176
16.017	1.080	0.260
16.033	1.126	0.276
16.050	1.096	0.280
16.067	1.046	0.268
16.083	0.988	0.224
16.100	1.060	0.180
